Type;N;J;GFLOPS;Memory Performance
AdditionJ;32768;4;3.82553;2.29532
Multiplication;32768;4;149.162;89.4974
MultiplicationJ;32768;4;5.35159;3.21095
Addition;32768;8;78.1083;46.865
AdditionJ;32768;8;5.43207;3.25924
Multiplication;32768;8;5.44695;3.26817
MultiplicationJ;32768;8;5.06342;3.03805
Addition;32768;16;5.26803;3.16082
AdditionJ;32768;16;5.69268;3.41561
Multiplication;32768;16;5.35705;3.21423
MultiplicationJ;32768;16;5.64467;3.3868
Addition;32768;32;5.32834;3.197
AdditionJ;32768;32;58.7999;35.2799
Multiplication;32768;32;5.37886;3.22731
MultiplicationJ;32768;32;7.91008;4.74605
Addition;65536;1;11.0155;6.60929
AdditionJ;65536;1;10.9522;6.5713
Multiplication;65536;1;10.7597;6.45582
MultiplicationJ;65536;1;10.8391;6.50348
Addition;65536;2;290.909;174.545
AdditionJ;65536;2;246.896;148.137
Multiplication;65536;2;277.695;166.617
MultiplicationJ;65536;2;10.377;6.22619
Addition;65536;4;256;153.6
AdditionJ;65536;4;10.4317;6.25901
Multiplication;65536;4;10.2713;6.1628
MultiplicationJ;65536;4;10.6315;6.3789
Addition;65536;8;10.4139;6.24835
AdditionJ;65536;8;10.8043;6.48255
Multiplication;65536;8;17.8226;10.6936
MultiplicationJ;65536;8;10.7637;6.45819
Addition;65536;16;9.15737;5.49442
AdditionJ;65536;16;170.667;102.4
Multiplication;65536;16;10.4891;6.29347
MultiplicationJ;65536;16;10.9563;6.57376
Addition;65536;32;10.5673;6.34039
AdditionJ;65536;32;12.0847;7.25084
Multiplication;65536;32;10.711;6.42661
MultiplicationJ;65536;32;11.4493;6.8696
Addition;131072;1;22.4193;13.4516
AdditionJ;131072;1;22.4968;13.4981
Multiplication;131072;1;24.2891;14.5735
MultiplicationJ;131072;1;503.813;302.288
Addition;131072;2;20.5468;12.3281
AdditionJ;131072;2;465.454;279.273
Multiplication;131072;2;20.9836;12.5902
MultiplicationJ;131072;2;20.9316;12.559
Addition;131072;4;20.1461;12.0876
AdditionJ;131072;4;21.1608;12.6965
Multiplication;131072;4;22.3978;13.4387
MultiplicationJ;131072;4;20.6639;12.3983
Addition;131072;8;20.9145;12.5487
AdditionJ;131072;8;21.6731;13.0039
Multiplication;131072;8;20.5103;12.3062
MultiplicationJ;131072;8;21.529;12.9174
Addition;131072;16;33.6441;20.1865
AdditionJ;131072;16;360.722;216.433
Multiplication;131072;16;22.1813;13.3088
MultiplicationJ;131072;16;22.1843;13.3106
Addition;131072;32;21.5874;12.9525
AdditionJ;131072;32;22.5943;13.5566
Multiplication;131072;32;21.726;13.0356
MultiplicationJ;131072;32;22.8425;13.7055
Addition;262144;1;449.863;269.918
AdditionJ;262144;1;839.344;503.607
Multiplication;262144;1;839.344;503.607
MultiplicationJ;262144;1;42.7803;25.6682
Addition;262144;2;898.738;539.243
AdditionJ;262144;2;856.008;513.605
Multiplication;262144;2;812.698;487.619
MultiplicationJ;262144;2;815.124;489.075
Addition;262144;4;803.137;481.882
AdditionJ;262144;4;815.53;489.318
Multiplication;262144;4;854.669;512.801
MultiplicationJ;262144;4;42.9181;25.7509
Addition;262144;8;869.639;521.783
AdditionJ;262144;8;545.043;327.026
Multiplication;262144;8;38.9076;23.3446
MultiplicationJ;262144;8;528.346;317.007
Addition;262144;16;683.236;409.942
AdditionJ;262144;16;462.042;277.225
Multiplication;262144;16;449.739;269.844
MultiplicationJ;262144;16;469.994;281.997
Addition;262144;32;40.9959;24.5975
AdditionJ;262144;32;43.075;25.845
Multiplication;262144;32;664.935;398.961
MultiplicationJ;262144;32;487.764;292.659
Addition;524288;1;1371.62;822.972
AdditionJ;524288;1;1140.95;684.568
Multiplication;524288;1;1402.74;841.644
MultiplicationJ;524288;1;95.6144;57.3686
Addition;524288;2;1368.18;820.91
AdditionJ;524288;2;82.2511;49.3506
Multiplication;524288;2;1387.89;832.732
MultiplicationJ;524288;2;1318.63;791.179
Addition;524288;4;1015.75;609.448
AdditionJ;524288;4;1251.64;750.986
Multiplication;524288;4;1353.49;812.094
MultiplicationJ;524288;4;868.947;521.368
Addition;524288;8;1281.5;768.901
AdditionJ;524288;8;793.799;476.279
Multiplication;524288;8;1406.96;844.174
MultiplicationJ;524288;8;85.843;51.5058
Addition;524288;16;93.452;56.0712
AdditionJ;524288;16;87.4723;52.4834
Multiplication;524288;16;84.5691;50.7415
MultiplicationJ;524288;16;86.4728;51.8837
Addition;524288;32;1296.72;778.029
AdditionJ;524288;32;914.286;548.571
Multiplication;524288;32;88.7396;53.2438
MultiplicationJ;524288;32;924.866;554.92
Addition;1048576;1;1868.72;1121.23
